1797	0
2999	50148
3401	136676
1345	235421
1307	272470
1290	309308
1711	346461
1941	395465
480	449815
518	463780
1019	478669
2134	508617
3502	569221
1389	669458
882	710478
2193	734416
119	798737
1606	802231
3638	847621
1388	956428
290	996257
613	1004684
2185	1022530
36	1085296
202	1086351
137	1092074
27::ASXX0364::Albury Aeroport, Australia
41::POXX0042::Alcacer do Sal, Portugal
39::SPXX0001::Alcala de Guadaira, Spain
40::SPXX0002::Alcala de Henares, Spain
39::USNM0006::Alcalde, NM
26::ITXX0001::Alcamo, Italy
28::SPXX0003::Alcazar de San Juan, Spain
41::USSD0004::Alcester, SD
27::SPXX0004::Alcira, Spain
28::USAR0002::Alco, AR
23::USTN0005::Alcoa, TN
24::SPXX0005::Alcobendas, Spain
32::SPXX0133::Alcoi, Spain
27::USSC0004::Alcolu, SC
25::SPXX0006::Alcorcon, Spain
30::USWY0004::Alcova, WY
25::USNY0014::Alcove, NY
25::SPXX0007::Alcudia, Spain
29::USNE0005::Alda, NE
23::RSXX0352::Aldan, Russia
28::MGXX0001::Aldar, Mongolia
30::USIA0013::Alden, IA
24::USIL0010::Alden, IL
24::USKS0007::Alden, KS
24::USMI0011::Alden, MI
24::USMN0015::Alden, MN
24::USNY0015::Alden, NY
24::USPA0019::Aldenville, PA
29::USNY0016::Alder Creek, NY
30::USMT0004::Alder, MT
24::USCA0012::Alderpoint, CA
29::UKXX0858::Aldershot, United Kingdom
40::USOK0011::Alderson, OK
27::USWV0005::Alderson, WV
27::USVA0006::Aldie, VA
24::USMN0016::Aldrich, MN
26::USMO0006::Aldrich, MO
26::USIL0011::Aledo, IL
24::USTX0017::Aledo, TX
24::BRXX0480::Alegre, Brazil
29::BRXX0003::Alegrete, Brazil
31::RSXX0297::Alejskaja, Russia
32::USAK0007::Aleknagik, AK
28::RSXX0421::Aleksandrov-Gaj, Russia
38::RSXX0397::Aleksandrovsk-Sahalinskij, Russia
48::RSXX1237::Aleksandrovskoe, Russia
38::KZXX0021::Alekseevka, Kazakhstan
37::BRXX0481::Alenquer, Brazil
31::USPA0020::Aleppo, PA
25::SYXX0003::Aleppo, Syria
28::ITXX0106::Alessandria, Italy
33::USOK0012::Alex, OK
23::SFXX0001::Alexander Bay, South Africa
42::USAL0010::Alexander City, AL
33::USAR0003::Alexander, AR
28::USIA0014::Alexander, IA
28::USIL0012::Alexander, IL
28::USKS0008::Alexander, KS
28::USNC0007::Alexander, NC
28::USND0006::Alexander, ND
28::USNY0017::Alexander, NY
28::USNY0018::Alexandria Bay, NY
33::USAL0011::Alexandria, AL
29::EGXX0001::Alexandria, Egypt
32::USIN0006::Alexandria, IN
29::USKY0643::Alexandria, KY
29::USLA0008::Alexandria, LA
29::USMN0017::Alexandria, MN
29::USMO0007::Alexandria, MO
29::USNE0006::Alexandria, NE
29::USOH0010::Alexandria, OH
29::USPA0021::Alexandria, PA
29::USSD0005::Alexandria, SD
29::USTN0006::Alexandria, TN
29::USVA0007::Alexandria, VA
29::GRXX0003::Alexandroupolis, Greece
38::USIL0013::Alexis, IL
25::USNC0008::Alexis, NC
25::BRXX0482::Alfenas, Brazil
30::USFL0002::Alford, FL
25::USNY0020::Alfred Station, NY
33::USME0006::Alfred, ME
25::USNY0019::Alfred, NY
25::UKXX1349::Alfreton, United Kingdom
39::SPXX0088::Algeciras, Spain
31::USMI0012::Alger, MI
24::USOH0011::Alger, OH
24::ITXX0101::Alghero, Italy
29::AGXX0001::Algiers, Algeria
31::USNM0007::Algodones, NM
28::USMS0004::Algoma, MS
25::USWI0007::Algoma, WI
25::USIA0015::Algona, IA
25::USMI0013::Algonac, MI
26::USIL0014::Algonquin, IL
28::POXX0041::Algoso, Portugal
31::USCA0013::Alhambra, CA
27::USIL0015::Alhambra, IL
27::ASXX0176::Ali Curung Tennant Creek, Australia
50::SPXX0008::Alicante, Spain
30::ASXX0002::Alice Springs, Australia
39::USTX0018::Alice, TX
24::USAL0012::Aliceville, AL
